Gene	Chromosome	Start	End	Strand
SEPTIN1	chr16	30378133	30382850	-
SEPTIN10	chr2	109542799	109614143	-
SEPTIN11	chr4	76949703	77040384	+
SEPTIN12	chr16	4777606	4788346	-
SEPTIN14	chr7	55793540	55862752	-
SEPTIN2	chr2	241315100	241354027	+
SEPTIN3	chr22	41969475	41998221	+
SEPTIN4	chr17	58520250	58544368	-
SEPTIN5	chr22	19714503	19723319	+
SEPTIN6	chrX	119615724	119693370	-
SEPTIN7	chr7	35800932	35907105	+
SEPTIN8	chr5	132750819	132807241	-
SEPTIN9	chr17	77280569	77500596	+
SERAC1	chr6	158109519	158168280	-
SERBP1	chr1	67407810	67430415	-
SERF1A	chr5	70900665	70918530	+
SERF1B	chr5	70025247	70043113	+
SERF2	chr15	43777100	43800279	+
SERGEF	chr11	17788048	18013047	-
SERHL2	chr22	42553617	42574382	+
SERINC1	chr6	122443351	122471807	-
SERINC2	chr1	31409565	31434680	+
SERINC3	chr20	44496221	44522085	-
SERINC4	chr15	43794162	43800221	-
SERINC5	chr5	80111651	80256048	-
SERP1	chr3	150541998	150603174	-
SERP2	chr13	44373824	44397714	+
SERPINA1	chr14	94376747	94390693	-
SERPINA10	chr14	94280460	94293268	-
SERPINA11	chr14	94442464	94452800	-
SERPINA12	chr14	94487274	94517844	-
SERPINA3	chr14	94612384	94624055	+
SERPINA4	chr14	94561442	94569913	+
SERPINA5	chr14	94561442	94593118	+
SERPINA6	chr14	94304248	94323389	-
SERPINA7	chrX	106032435	106038727	-
SERPINA9	chr14	94462717	94476333	-
SERPINB1	chr6	2832332	2841863	-
SERPINB10	chr18	63897174	63936111	+
SERPINB11	chr18	63647579	63723893	+
SERPINB12	chr18	63556160	63567011	+
SERPINB13	chr18	63586989	63604639	+
SERPINB2	chr18	63871692	63903888	+
SERPINB3	chr18	63655197	63661893	-
SERPINB4	chr18	63637259	63644256	-
SERPINB5	chr18	63476958	63505085	+
SERPINB6	chr6	2948159	2972165	-
SERPINB7	chr18	63752935	63805376	+
SERPINB8	chr18	63970029	64019779	+
SERPINB9	chr6	2887270	2903309	-
SERPINC1	chr1	173903804	173917378	-
SERPIND1	chr22	20774113	20787720	+
SERPINE1	chr7	101127104	101139247	+
SERPINE2	chr2	223975045	224039318	-
SERPINE3	chr13	51335773	51364735	+
SERPINF1	chr17	1762029	1777565	+
SERPINF2	chr17	1742836	1755265	+
SERPING1	chr11	57597387	57614848	+
SERPINH1	chr11	75562056	75572783	+
SERPINI1	chr3	167735243	167825569	+
SERPINI2	chr3	167441789	167479004	-
SERTAD1	chr19	40421589	40425992	-
SERTAD2	chr2	64631621	64653913	-
SERTAD3	chr19	40440844	40444335	-
SERTAD4	chr1	210232796	210246255	+
SERTM1	chr13	36674020	36697839	+
SERTM2	chrX	111511662	111522399	+
SESN1	chr6	108986437	109094819	-
SESN2	chr1	28259518	28282491	+
SESN3	chr11	95165513	95232541	-
SESTD1	chr2	179101678	179264832	-
SET	chr9	128683424	128696400	+
SETBP1	chr18	44680173	45068510	+
SETD1A	chr16	30957754	30984664	+
SETD1B	chr12	121804180	121832584	+
SETD2	chr3	47016436	47164113	-
SETD3	chr14	99397748	99480889	-
SETD4	chr21	36034541	36079389	-
SETD5	chr3	9397615	9479240	+
SETD6	chr16	58515479	58523842	+
SETD7	chr4	139495941	139606699	-
SETD9	chr5	56909352	56925532	+
SETDB1	chr1	150926263	150964744	+
SETDB2	chr13	49444374	49495003	+
SETMAR	chr3	4303304	4317567	+
SETSIP	chr1	92074533	92075441	-
SETX	chr9	132261356	132354986	-
SEZ6	chr17	28954901	29006440	-
SEZ6L	chr22	26169462	26383597	+
SEZ6L2	chr16	29871159	29899547	-
SF1	chr11	64764606	64778786	-
SF3A1	chr22	30331988	30356894	-
SF3A2	chr19	2236824	2248655	+
SF3A3	chr1	37956975	37990022	-
SF3B1	chr2	197389784	197435079	-
SF3B2	chr11	66052331	66069308	+
SF3B3	chr16	70523791	70577668	+
SF3B4	chr1	149923317	149927803	-
SF3B5	chr6	144094884	144095573	-
SF3B6	chr2	24067586	24076326	-
SFI1	chr22	31496139	31618588	+
SFMBT1	chr3	52903572	53046663	-
SFMBT2	chr10	7158624	7411486	-
SFN	chr1	26863149	26864456	+
SFPQ	chr1	35182936	35193145	-
SFR1	chr10	104122058	104126385	+
SFRP1	chr8	41261962	41309473	-
SFRP2	chr4	153780591	153789083	-
SFRP4	chr7	37905932	38025695	-
SFRP5	chr10	97766751	97771999	-
SFSWAP	chr12	131711090	131799738	+
SFT2D1	chr6	166319728	166342545	-
SFT2D2	chr1	168225950	168253021	+
SFT2D3	chr2	127701497	127705242	+
SFTA2	chr6	30931353	30955636	-
SFTA3	chr14	36473288	36513829	-
SFTPA1	chr10	79610939	79615455	+
SFTPA2	chr10	79555852	79560407	-
SFTPB	chr2	85657314	85668741	-
SFTPC	chr8	22161655	22164479	+
SFTPD	chr10	79937740	79982614	-
SFXN1	chr5	175477062	175529742	+
SFXN2	chr10	102714538	102743492	+
SFXN3	chr10	101031234	101041244	+
SFXN4	chr10	119140767	119165714	-
SFXN5	chr2	72942036	73071725	-
SGCA	chr17	50166005	50175928	+
SGCB	chr4	52020706	52038299	-
SGCD	chr5	155870344	156767788	+
SGCE	chr7	94584980	94656572	-
SGCG	chr13	23180979	23325162	+
SGCZ	chr8	14084845	15238431	-
SGF29	chr16	28553920	28591790	+
SGIP1	chr1	66533383	66751139	+
SGK1	chr6	134169246	134318112	-
SGK2	chr20	43558968	43585633	+
SGK3	chr8	66712781	66862022	+
SGMS1	chr10	50305586	50623977	-
SGMS2	chr4	107824563	107915047	+
SGO1	chr3	20160593	20186206	-
SGO2	chr2	200510008	200584096	+
SGPL1	chr10	70815948	70881184	+
SGPP1	chr14	63684216	63728065	-
SGPP2	chr2	222424543	222562621	+
SGSH	chr17	80207656	80220923	-
SGSM1	chr22	24806169	24927578	+
SGSM2	chr17	2337501	2381058	+
SGSM3	chr22	40370591	40410289	+
SGTA	chr19	2754715	2783273	-
SGTB	chr5	65665928	65723035	-
SH2B1	chr16	28846600	28874212	+
SH2B2	chr7	102285155	102321711	+
SH2B3	chr12	111405923	111451623	+
SH2D1A	chrX	124346525	124373160	+
SH2D1B	chr1	162395268	162412136	-
SH2D2A	chr1	156806243	156816848	-
SH2D3A	chr19	6752160	6767463	-
SH2D3C	chr9	127738317	127778666	-
SH2D4A	chr8	19313693	19396218	+
SH2D4B	chr10	80537902	80646560	+
SH2D5	chr1	20719731	20732837	-
SH2D6	chr2	85429448	85437029	+
SH2D7	chr15	78077808	78104909	+
SH3BGR	chr21	39445855	39515506	+
SH3BGRL	chrX	81202102	81298547	+
SH3BGRL2	chr6	79631329	79703655	+
SH3BGRL3	chr1	26280086	26281522	+
SH3BP1	chr22	37639669	37656117	+
SH3BP2	chr4	2793071	2841098	+
SH3BP4	chr2	234952017	235055714	+
SH3BP5	chr3	15254353	15341368	-
SH3BP5L	chr1	248810446	248825915	-
SH3D19	chr4	151120279	151325632	-
SH3D21	chr1	36306368	36324977	+
SH3GL1	chr19	4360370	4400547	-
SH3GL2	chr9	17579066	17797124	+
SH3GL3	chr15	83447341	83618743	+
SH3GLB1	chr1	86704570	86748184	+
SH3GLB2	chr9	129007036	129028331	-
SH3KBP1	chrX	19533977	19887600	-
SH3PXD2A	chr10	103594027	103855543	-
SH3PXD2B	chr5	172325000	172454525	-
SH3RF1	chr4	169094259	169270956	-
SH3RF2	chr5	145936578	146081791	+
SH3RF3	chr2	109129205	109504634	+
SH3TC1	chr4	8182075	8241803	+
SH3TC2	chr5	148982150	149063089	-
SH3YL1	chr2	218136	264824	-
SHANK1	chr19	50661827	50719450	-
SHANK2	chr11	70467856	71224762	-
SHANK3	chr22	50674642	50733298	+
SHARPIN	chr8	144098633	144103773	-
SHB	chr9	37915898	38069227	-
SHBG	chr17	7614064	7633382	+
SHC1	chr1	154962298	154974395	-
SHC2	chr19	416583	460996	-
SHC3	chr9	89005771	89178818	-
SHC4	chr15	48823741	48963919	-
SHCBP1	chr16	46578591	46621379	-
SHCBP1L	chr1	182899865	182953166	-
SHD	chr19	4279266	4290722	+
SHE	chr1	154469772	154502412	-
SHF	chr15	45167214	45201175	-
SHFL	chr19	10086317	10093243	+
SHH	chr7	155799980	155812463	-
SHISA2	chr13	26044597	26052016	-
SHISA3	chr4	42397488	42402487	+
SHISA4	chr1	201888898	201892587	+
SHISA5	chr3	48467798	48504826	-
SHISA6	chr17	11241213	11564063	+
SHISA7	chr19	55428740	55442863	-
SHISA8	chr22	41909554	41914667	-
SHISA9	chr16	12901598	13240416	+
SHISAL1	chr22	44243665	44312951	-
SHISAL2A	chr1	52633168	52657065	+
SHISAL2B	chr5	64690503	64718190	+
SHKBP1	chr19	40576855	40591399	+
SHLD1	chr20	5750393	5864395	+
SHLD2	chr10	87094161	87191468	+
SHLD3	chr5	65625027	65630928	+
SHMT1	chr17	18327860	18363563	-
SHMT2	chr12	57229711	57234935	+
SHOC1	chr9	111686173	111795008	-
SHOC2	chr10	110919604	111013666	+
SHOX	chrX	624344	659411	+
SHOX2	chr3	158096011	158106503	-
SHPK	chr17	3608240	3636250	-
SHPRH	chr6	145864245	145964423	-
SHQ1	chr3	72749277	72861914	-
SHROOM1	chr5	132822141	132830898	-
SHROOM2	chrX	9786429	9949443	+
SHROOM3	chr4	76435229	76783253	+
SHROOM4	chrX	50591647	50814302	-
SHTN1	chr10	116881477	117126586	-
SI	chr3	164978898	165078496	-
SIAE	chr11	124633113	124676303	-
SIAH1	chr16	48360531	48393955	-
SIAH2	chr3	150741125	150763431	-
SIAH3	chr13	45777242	45851753	-
SIDT1	chr3	113532555	113629575	+
SIDT2	chr11	117178736	117197445	+
SIGIRR	chr11	405716	417397	-
SIGLEC1	chr20	3686970	3707128	-
SIGLEC10	chr19	51410020	51417803	-
SIGLEC11	chr19	49948985	49961172	-
SIGLEC12	chr19	51491227	51501800	-
SIGLEC14	chr19	51642553	51646801	-
SIGLEC15	chr18	45825675	45844094	+
SIGLEC5	chr19	51611927	51645545	-
SIGLEC6	chr19	51517819	51531856	-
SIGLEC7	chr19	51142299	51153526	+
SIGLEC8	chr19	51450847	51458456	-
SIGLEC9	chr19	51124908	51136651	+
SIGLECL1	chr19	51246348	51269330	+
SIGMAR1	chr9	34634722	34637809	-
SIK1	chr21	43414483	43427131	-
SIK1B	chr21	6111131	6123778	+
SIK2	chr11	111602449	111730855	+
SIK3	chr11	116843402	117098437	-
SIKE1	chr1	114769479	114780685	-
SIL1	chr5	138946724	139198368	-
SIM1	chr6	100385009	100464921	-
SIM2	chr21	36699115	36749917	+
SIMC1	chr5	176238367	176345991	+
SIN3A	chr15	75369379	75455842	-
SIN3B	chr19	16829400	16880353	+
SINHCAF	chr12	31280584	31327058	-
SIPA1	chr11	65638101	65650918	+
SIPA1L1	chr14	71321391	71741229	+
SIPA1L2	chr1	232397965	232630516	-
SIPA1L3	chr19	37907208	38208369	+
SIRPA	chr20	1894167	1940592	+
SIRPB1	chr20	1561385	1620009	-
SIRPB2	chr20	1474578	1491481	-
SIRPD	chr20	1534251	1557705	-
SIRPG	chr20	1629152	1657779	-
SIRT1	chr10	67884656	67918390	+
SIRT2	chr19	38878555	38899862	-
SIRT3	chr11	215030	236859	-
SIRT4	chr12	120302316	120313249	+
SIRT5	chr6	13574529	13615158	+
SIRT6	chr19	4174109	4182563	-
SIRT7	chr17	81911939	81921323	-
SIT1	chr9	35649295	35650950	-
SIVA1	chr14	104753147	104759659	+
SIX1	chr14	60643421	60658259	-
SIX2	chr2	45005182	45009452	-
SIX3	chr2	44941702	44946071	+
SIX4	chr14	60709539	60724351	-
SIX5	chr19	45764785	45769252	-
SIX6	chr14	60509146	60512850	+
SKA1	chr18	50375040	50394168	+
SKA2	chr17	59109857	59155248	-
SKA3	chr13	21153595	21176552	-
SKAP1	chr17	48133442	48430219	-
SKAP2	chr7	26667068	26995239	-
SKI	chr1	2228319	2310213	+
SKIDA1	chr10	21513475	21525682	-
SKIL	chr3	170357715	170396835	+
SKIV2L	chr6	31959175	31969751	+
SKOR1	chr15	67819704	67834582	+
SKOR2	chr18	47206169	47251660	-
SKP1	chr5	134148935	134176964	-
SKP2	chr5	36151989	36184319	+
SLA	chr8	133036728	133102912	-
SLA2	chr20	36612318	36646196	-
SLAIN1	chr13	77697687	77764242	+
SLAIN2	chr4	48341529	48426201	+
SLAMF1	chr1	160608106	160647295	-
SLAMF6	chr1	160485030	160523262	-
SLAMF7	chr1	160739057	160754821	+
SLAMF8	chr1	159826811	159837492	+
SLAMF9	chr1	159951492	159954237	-
SLBP	chr4	1692731	1712344	-
SLC10A1	chr14	69775416	69797241	-
SLC10A2	chr13	103043998	103066417	-
SLC10A3	chrX	154487306	154490690	-
SLC10A4	chr4	48483343	48489526	+
SLC10A5	chr8	81693631	81695058	-
SLC10A6	chr4	86823468	86849384	-
SLC10A7	chr4	146253975	146521964	-
SLC11A1	chr2	218382273	218396894	+
SLC11A2	chr12	50979784	51028566	-
SLC12A1	chr15	48178438	48304078	+
SLC12A2	chr5	128083766	128189677	+
SLC12A3	chr16	56865207	56915850	+
SLC12A4	chr16	67943474	67969601	-
SLC12A5	chr20	46021690	46060150	+
SLC12A6	chr15	34229784	34338060	-
SLC12A7	chr5	1050384	1112063	-
SLC12A8	chr3	125082636	125212765	-
SLC12A9	chr7	100852713	100867010	+
SLC13A1	chr7	123113531	123199969	-
SLC13A2	chr17	28473293	28497781	+
SLC13A3	chr20	46557823	46684467	-
SLC13A4	chr7	135681237	135729258	-
SLC13A5	chr17	6684719	6713377	-
SLC14A1	chr18	45724127	45752520	+
SLC14A2	chr18	45212995	45683688	+
SLC15A1	chr13	98683801	98752672	-
SLC15A2	chr3	121894401	121944188	+
SLC15A3	chr11	60937084	60952530	-
SLC15A4	chr12	128793194	128823958	-
SLC15A5	chr12	16188485	16277685	-
SLC16A1	chr1	112911847	112957013	-
SLC16A10	chr6	111087503	111231194	+
SLC16A11	chr17	7041621	7044092	-
SLC16A12	chr10	89430299	89556641	-
SLC16A13	chr17	7036015	7040117	+
SLC16A14	chr2	230034982	230068993	-
SLC16A2	chrX	74421493	74533916	+
SLC16A3	chr17	82228397	82261129	+
SLC16A4	chr1	110362851	110391082	-
SLC16A5	chr17	75087727	75106162	+
SLC16A6	chr17	68267026	68291267	-
SLC16A7	chr12	59596029	59789855	+
SLC16A8	chr22	38078134	38084093	-
SLC16A9	chr10	59650761	59736002	-
SLC17A1	chr6	25782915	25832052	-
SLC17A2	chr6	25912754	25930726	-
SLC17A3	chr6	25833066	25882286	-
SLC17A4	chr6	25754699	25781199	+
SLC17A5	chr6	73593379	73653992	-
SLC17A6	chr11	22338381	22379503	+
SLC17A7	chr19	49429401	49442360	-
SLC17A8	chr12	100357074	100422055	+
SLC17A9	chr20	62952707	62969585	+
SLC18A1	chr8	20144855	20183206	-
SLC18A2	chr10	117241114	117279430	+
SLC18A3	chr10	49610310	49612720	+
SLC18B1	chr6	132769370	132813339	-
SLC19A1	chr21	45493572	45563115	-
SLC19A2	chr1	169463909	169485944	-
SLC19A3	chr2	227683763	227718028	-
SLC1A1	chr9	4490468	4587469	+
SLC1A2	chr11	35251205	35420063	-
SLC1A3	chr5	36606355	36688334	+
SLC1A4	chr2	64988490	65023865	+
SLC1A5	chr19	46774883	46788594	-
SLC1A6	chr19	14950034	15022990	-
SLC1A7	chr1	53087179	53142638	-
SLC20A1	chr2	112645939	112663825	+
SLC20A2	chr8	42416475	42541926	-
SLC22A1	chr6	160121815	160158718	+
SLC22A10	chr11	63289903	63311783	+
SLC22A11	chr11	64555690	64572875	+
SLC22A12	chr11	64590641	64602353	+
SLC22A13	chr3	38265812	38278757	+
SLC22A14	chr3	38282294	38318575	+
SLC22A15	chr1	115976513	116070054	+
SLC22A16	chr6	110424687	110476613	-
SLC22A17	chr14	23346306	23352912	-
SLC22A18	chr11	2899721	2925246	+
SLC22A18AS	chr11	2887344	2903575	-
SLC22A2	chr6	160216755	160277638	-
SLC22A23	chr6	3268962	3457022	-
SLC22A24	chr11	63079940	63144221	-
SLC22A25	chr11	63163776	63229652	-
SLC22A3	chr6	160348378	160452577	+
SLC22A31	chr16	89195761	89201651	-
SLC22A4	chr5	132294394	132344190	+
SLC22A5	chr5	132369710	132395612	+
SLC22A6	chr11	62976597	62984967	-
SLC22A7	chr6	43297998	43305538	+
SLC22A8	chr11	62992824	63015841	-
SLC22A9	chr11	63369785	63410294	+
SLC23A1	chr5	139367196	139384553	-
SLC23A2	chr20	4852356	5010293	-
SLC23A3	chr2	219161465	219170095	-
SLC24A1	chr15	65611405	65660995	+
SLC24A2	chr9	19507452	19786928	-
SLC24A3	chr20	19212642	19722926	+
SLC24A4	chr14	92322581	92501481	+
SLC24A5	chr15	48120990	48142672	+
SLC25A1	chr22	19175581	19178736	-
SLC25A10	chr17	81712236	81721016	+
SLC25A11	chr17	4937130	4940053	-
SLC25A12	chr2	171783405	171894244	-
SLC25A13	chr7	96120220	96322147	-
SLC25A14	chrX	130339888	130373361	+
SLC25A15	chr13	40789611	40812460	+
SLC25A16	chr10	68477998	68527523	-
SLC25A17	chr22	40769630	40819399	-
SLC25A18	chr22	17563450	17590995	+
SLC25A19	chr17	75272981	75289510	-
SLC25A2	chr5	141302635	141304049	-
SLC25A20	chr3	48856926	48898904	-
SLC25A21	chr14	36677921	37172606	-
SLC25A22	chr11	790475	798281	-
SLC25A23	chr19	6436079	6465203	-
SLC25A24	chr1	108134043	108200849	-
SLC25A25	chr9	128068201	128109245	+
SLC25A26	chr3	66133610	66378927	+
SLC25A27	chr6	46652915	46678190	+
SLC25A28	chr10	99610522	99620439	-
SLC25A29	chr14	100291116	100306490	-
SLC25A3	chr12	98593591	98606379	+
SLC25A30	chr13	45393316	45418455	-
SLC25A31	chr4	127730400	127774292	+
SLC25A32	chr8	103398638	103415107	-
SLC25A33	chr1	9539465	9585173	+
SLC25A34	chr1	15736258	15741392	+
SLC25A35	chr17	8287763	8295400	-
SLC25A36	chr3	140941830	140980995	+
SLC25A37	chr8	23528956	23575463	+
SLC25A38	chr3	39383370	39397351	+
SLC25A39	chr17	44319625	44324870	-
SLC25A4	chr4	185143266	185150382	+
SLC25A40	chr7	87833568	87876360	-
SLC25A41	chr19	6426037	6433763	-
SLC25A42	chr19	19063994	19113030	+
SLC25A43	chrX	119399336	119454478	+
SLC25A44	chr1	156193932	156212796	+
SLC25A45	chr11	65375192	65382674	-
SLC25A46	chr5	110738161	110765157	+
SLC25A47	chr14	100323339	100330421	+
SLC25A48	chr5	135579202	135889770	+
SLC25A5	chrX	119468444	119471396	+
SLC25A51	chr9	37887604	37904127	-
SLC25A52	chr18	31759584	31760880	-
SLC25A53	chrX	104099214	104157009	-
SLC25A6	chrX	1386152	1392113	-
SLC26A1	chr4	979073	993440	-
SLC26A10	chr12	57619910	57626150	+
SLC26A11	chr17	80219699	80253500	+
SLC26A2	chr5	149960758	149993455	+
SLC26A3	chr7	107765469	107803225	-
SLC26A4	chr7	107660828	107717809	+
SLC26A5	chr7	103352730	103446207	-
SLC26A6	chr3	48625723	48635493	-
SLC26A7	chr8	91209495	91398155	+
SLC26A8	chr6	35943516	36024868	-
SLC26A9	chr1	205913048	205943460	-
SLC27A1	chr19	17470489	17506168	+
SLC27A2	chr15	50182196	50236385	+
SLC27A3	chr1	153774354	153780157	+
SLC27A4	chr9	128340527	128361470	+
SLC27A5	chr19	58498333	58511992	-
SLC27A6	chr5	128538013	129033642	+
SLC28A1	chr15	84884654	84945798	+
SLC28A2	chr15	45252234	45277846	+
SLC28A3	chr9	84275457	84340758	-
SLC29A1	chr6	44219553	44234142	+
SLC29A2	chr11	66362521	66372214	-
SLC29A3	chr10	71319259	71363385	+
SLC29A4	chr7	5274369	5306870	+
SLC2A1	chr1	42925353	42958868	-
SLC2A10	chr20	46709649	46736347	+
SLC2A11	chr22	23856703	23886309	+
SLC2A12	chr6	133987581	134052624	-
SLC2A13	chr12	39755025	40106089	-
SLC2A14	chr12	7812512	7891148	-
SLC2A2	chr3	170996347	171026720	-
SLC2A3	chr12	7919230	7936187	-
SLC2A4	chr17	7281718	7288257	+
SLC2A4RG	chr20	63739776	63744050	+
SLC2A5	chr1	9035106	9088478	-
SLC2A6	chr9	133471094	133479127	-
SLC2A7	chr1	9003300	9026345	-
SLC2A8	chr9	127397138	127407898	+
SLC2A9	chr4	9826224	10054936	-
SLC30A1	chr1	211571568	211579161	-
SLC30A10	chr1	219910445	219928557	-
SLC30A2	chr1	26037252	26046118	-
SLC30A3	chr2	27253684	27275817	-
SLC30A4	chr15	45479606	45522755	-
SLC30A5	chr5	69093949	69131069	+
SLC30A6	chr2	32165841	32224379	+
SLC30A7	chr1	100896076	100981757	+
SLC30A8	chr8	116950273	117176714	+
SLC30A9	chr4	41990530	42090461	+
SLC31A1	chr9	113221544	113264492	+
SLC31A2	chr9	113151007	113164140	+
SLC32A1	chr20	38724486	38729372	+
SLC33A1	chr3	155821024	155854446	-
SLC34A1	chr5	177379235	177398848	+
SLC34A2	chr4	25648011	25678748	+
SLC34A3	chr9	137230757	137236555	+
SLC35A1	chr6	87472925	87512336	+
SLC35A2	chrX	48903183	48911958	-
SLC35A3	chr1	99969351	100035634	+
SLC35A4	chr5	140564828	140569100	+
SLC35A5	chr3	112561709	112585579	+
SLC35B1	chr17	49700934	49709014	-
SLC35B2	chr6	44254096	44257890	-
SLC35B3	chr6	8412885	8435611	-
SLC35B4	chr7	134289332	134316930	-
SLC35C1	chr11	45804072	45813016	+
SLC35C2	chr20	46345980	46364458	-
SLC35D1	chr1	66999350	67054148	-
SLC35D2	chr9	96320710	96383711	-
SLC35D3	chr6	136922301	136925660	+
SLC35E1	chr19	16549837	16572415	-
SLC35E2A	chr1	1724840	1745999	-
SLC35E2B	chr1	1659529	1692795	-
SLC35E3	chr12	68746176	68781468	+
SLC35E4	chr22	30635781	30669016	+
SLC35F1	chr6	117907264	118317676	+
SLC35F2	chr11	107790991	107928293	-
SLC35F3	chr1	233904676	234324511	+
SLC35F4	chr14	57563920	57866092	-
SLC35F5	chr2	113706709	113756642	-
SLC35F6	chr2	26764284	26781231	+
SLC35G1	chr10	93893973	93903824	+
SLC35G2	chr3	136819084	136855888	+
SLC35G3	chr17	35192520	35194523	-
SLC35G4	chr18	11609596	11610612	+
SLC35G5	chr8	11331012	11332360	+
SLC35G6	chr17	7481332	7483496	+
SLC36A1	chr5	151437046	151492379	+
SLC36A2	chr5	151314972	151347590	-
SLC36A3	chr5	151276358	151303766	-
SLC36A4	chr11	93144174	93197991	-
SLC37A1	chr21	42496018	42581440	+
SLC37A2	chr11	125063302	125090516	+
SLC37A3	chr7	140333752	140404310	-
SLC37A4	chr11	119024351	119030906	-
SLC38A1	chr12	46183063	46269951	-
SLC38A10	chr17	81244811	81295547	-
SLC38A11	chr2	164896186	164955525	-
SLC38A2	chr12	46358188	46372773	-
SLC38A3	chr3	50205246	50221486	+
SLC38A4	chr12	46764761	46832408	-
SLC38A5	chrX	48458537	48470260	-
SLC38A6	chr14	60981114	61083729	+
SLC38A7	chr16	58665109	58684770	-
SLC38A8	chr16	84009667	84042795	-
SLC38A9	chr5	55625847	55712333	-
SLC39A1	chr1	153959099	153968184	-
SLC39A10	chr2	195575977	195737702	+
SLC39A11	chr17	72645949	73092712	-
SLC39A12	chr10	17951839	18043292	+
SLC39A13	chr11	47407132	47416496	+
SLC39A14	chr8	22367249	22434129	+
SLC39A2	chr14	20999255	21001871	+
SLC39A3	chr19	2732204	2740028	-
SLC39A4	chr8	144412414	144416844	-
SLC39A5	chr12	56230049	56237846	+
SLC39A6	chr18	36108531	36129385	-
SLC39A7	chr6	33200445	33204439	+
SLC39A8	chr4	102251041	102345482	-
SLC39A9	chr14	69398690	69462390	+
SLC3A1	chr2	44275458	44321494	+
SLC3A2	chr11	62856102	62888875	+
SLC40A1	chr2	189560590	189583758	-
SLC41A1	chr1	205789095	205813198	-
SLC41A2	chr12	104802553	104958744	-
SLC41A3	chr3	126006355	126101557	-
SLC43A1	chr11	57484534	57515702	-
SLC43A2	chr17	1569268	1628834	-
SLC43A3	chr11	57406954	57427580	-
SLC44A1	chr9	105244622	105439171	+
SLC44A2	chr19	10602457	10644557	+
SLC44A3	chr1	94820342	94895246	+
SLC44A4	chr6	31863192	31879046	-
SLC44A5	chr1	75202131	75611116	-
SLC45A1	chr1	8317826	8344167	+
SLC45A2	chr5	33944623	33984693	-
SLC45A3	chr1	205657851	205680509	-
SLC45A4	chr8	141207166	141308305	-
SLC46A1	chr17	28394642	28407197	-
SLC46A2	chr9	112878920	112890876	-
SLC46A3	chr13	28700080	28718970	-
SLC47A1	chr17	19533462	19579034	+
SLC47A2	chr17	19678288	19716730	-
SLC48A1	chr12	47753916	47782751	+
SLC49A3	chr4	681829	689271	-
SLC49A4	chr3	122795069	122881139	+
SLC4A1	chr17	44248390	44268135	-
SLC4A10	chr2	161624335	161985282	+
SLC4A11	chr20	3227417	3239559	-
SLC4A1AP	chr2	27663471	27694976	+
SLC4A2	chr7	151057210	151076526	+
SLC4A3	chr2	219627394	219641980	+
SLC4A4	chr4	71062667	71572087	+
SLC4A5	chr2	74216242	74343414	-
SLC4A7	chr3	27372721	27484420	-
SLC4A8	chr12	51391317	51515763	+
SLC4A9	chr5	140360194	140375141	+
SLC50A1	chr1	155135344	155138857	+
SLC51A	chr3	196211487	196243178	+
SLC51B	chr15	65045387	65053397	+
SLC52A1	chr17	5032600	5052009	-
SLC52A2	chr8	144333957	144361286	+
SLC52A3	chr20	760080	776015	-
SLC5A1	chr22	32043261	32113029	+
SLC5A10	chr17	18950345	19022595	+
SLC5A11	chr16	24845841	24911628	+
SLC5A12	chr11	26667020	26723361	-
SLC5A2	chr16	31483002	31490769	+
SLC5A3	chr21	34073578	34106260	+
SLC5A4	chr22	32218476	32255341	-
SLC5A5	chr19	17871945	17895174	+
SLC5A6	chr2	27199587	27212958	-
SLC5A7	chr2	107986523	108013994	+
SLC5A8	chr12	101155493	101210238	-
SLC5A9	chr1	48222685	48248644	+
SLC66A1	chr1	19312326	19329300	+
SLC66A2	chr18	79902420	79951653	-
SLC66A3	chr2	11155198	11178870	+
SLC6A1	chr3	10992186	11039247	+
SLC6A11	chr3	10816201	10940714	+
SLC6A12	chr12	190077	214120	-
SLC6A13	chr12	220621	262873	-
SLC6A14	chrX	116436606	116461458	+
SLC6A15	chr12	84859491	84913615	-
SLC6A16	chr19	49289638	49325215	-
SLC6A17	chr1	110150494	110202202	+
SLC6A18	chr5	1225381	1246189	+
SLC6A19	chr5	1201595	1225111	+
SLC6A2	chr16	55655604	55706192	+
SLC6A20	chr3	45755449	45796536	-
SLC6A3	chr5	1392794	1445440	-
SLC6A4	chr17	30194319	30236002	-
SLC6A5	chr11	20599608	20659285	+
SLC6A6	chr3	14402576	14489349	+
SLC6A7	chr5	150190062	150222788	+
SLC6A8	chrX	153687926	153696588	+
SLC6A9	chr1	43991500	44031462	-
SLC7A1	chr13	29509414	29595688	-
SLC7A10	chr19	33208664	33225850	-
SLC7A11	chr4	138164097	138242349	-
SLC7A13	chr8	86214063	86230381	-
SLC7A14	chr3	170459548	170586075	-
SLC7A2	chr8	17497088	17570573	+
SLC7A3	chrX	70925579	70931125	-
SLC7A4	chr22	21028718	21032840	-
SLC7A5	chr16	87830023	87869507	-
SLC7A6	chr16	68264516	68301823	+
SLC7A6OS	chr16	68298034	68310946	-
SLC7A7	chr14	22773222	22829820	-
SLC7A8	chr14	23125295	23183674	-
SLC7A9	chr19	32830509	32869767	-
SLC8A1	chr2	40097270	40611053	-
SLC8A2	chr19	47428017	47471893	-
SLC8A3	chr14	70044215	70189070	-
SLC8B1	chr12	113298759	113359493	-
